label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
walking 0 -0.01 0.1 0.97 0.06333333333333334
walking 0.1 0.01 0.14 1.02 0.09666666666666668
walking 0.2 0.01 0.12 0.97 0.08333333333333333
walking 0.30000000000000004 -0.03 0.19 0.96 0.11666666666666665
walking 0.4 -0.01 0.23 0.97 0.15
walking 0.5 -0.04 0.25 0.98 0.15333333333333332
walking 0.6 -0.01 0.15 0.91 0.09666666666666666
walking 0.7 0.01 0.19 1.06 0.13
walking 0.7999999999999999 -0.01 -0.01 1.2 -0.01
walking 0.8999999999999999 -0.11 0.07 0.84 0.010000000000000004
walking 0.9999999999999999 -0.06 -0.01 1.11 -0.02666666666666666
walking 1.0999999999999999 -0.12 0.0 0.99 -0.04
walking 1.2 -0.01 0.15 0.99 0.09666666666666666
walking 1.3 -0.02 0.23 0.95 0.1466666666666667
walking 1.4000000000000001 0.04 0.11 1.23 0.08666666666666667
walking 1.5000000000000002 0.05 0.14 0.75 0.11
walking 1.6000000000000003 0.05 0.01 1.21 0.023333333333333334
walking 1.7000000000000004 0.03 0.16 0.88 0.11666666666666665
walking 1.8000000000000005 -0.02 0.11 0.97 0.06666666666666667
walking 1.9000000000000006 -0.03 0.23 1.01 0.14333333333333334
walking 2.0000000000000004 -0.1 0.17 1.04 0.08
walking 2.1000000000000005 0.02 0.1 0.9 0.07333333333333335
walking 2.2000000000000006 -0.09 0.18 0.81 0.09000000000000001
walking 2.3000000000000007 -0.07 0.1 0.95 0.043333333333333335
walking 2.400000000000001 -0.03 0.13 0.96 0.07666666666666667
walking 2.500000000000001 -0.09 0.13 0.94 0.05666666666666667
walking 2.600000000000001 0.02 0.14 1.22 0.10000000000000002
walking 2.700000000000001 -0.01 -0.1 1.34 -0.07
walking 2.800000000000001 -0.02 0.22 0.85 0.14
walking 2.9000000000000012 -0.03 0.07 0.87 0.036666666666666674
walking 3.0000000000000013 -0.02 0.22 0.89 0.14
walking 3.1000000000000014 -0.04 0.26 0.95 0.16
walking 3.2000000000000015 -0.13 0.16 1.07 0.06333333333333334
walking 3.3000000000000016 -0.02 0.01 1.41 0.0
walking 3.4000000000000017 -0.15 0.18 0.72 0.06999999999999999
walking 3.5000000000000018 0.02 0.05 1.18 0.04
walking 3.600000000000002 -0.03 0.16 0.76 0.09666666666666668
walking 3.700000000000002 0.02 0.22 0.94 0.15333333333333332
walking 3.800000000000002 -0.08 0.12 1.11 0.05333333333333332
walking 3.900000000000002 -0.02 0.06 1.33 0.03333333333333333
walking 4.000000000000002 -0.02 0.2 0.7 0.12666666666666668
walking 4.100000000000001 0.1 0.19 1.09 0.16
walking 4.200000000000001 -0.09 0.12 0.81 0.049999999999999996
walking 4.300000000000001 -0.03 0.2 0.98 0.12333333333333334
walking 4.4 -0.05 0.14 0.98 0.07666666666666667
walking 4.5 -0.14 0.18 0.93 0.07333333333333332
walking 4.6 -0.06 -0.0 0.77 -0.02
walking 4.699999999999999 -0.04 0.0 1.02 -0.013333333333333334
walking 4.799999999999999 -0.02 -0.03 1.11 -0.02666666666666667
walking 4.899999999999999 0.03 0.1 1.1 0.07666666666666667
walking 4.999999999999998 -0.05 0.09 1.06 0.043333333333333335
