label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
punching 0 -0.0 0.16 1.01 0.10666666666666667
punching 0.1 0.02 0.15 0.98 0.10666666666666665
punching 0.2 -0.04 0.15 0.93 0.08666666666666667
punching 0.30000000000000004 0.03 0.09 1.0 0.06999999999999999
punching 0.4 0.04 0.26 1.0 0.18666666666666668
punching 0.5 0.07 0.78 0.94 0.5433333333333333
punching 0.6 0.05 1.16 0.89 0.79
punching 0.7 -0.03 0.51 0.58 0.33
punching 0.7999999999999999 0.5 -1.72 1.12 -0.98
punching 0.8999999999999999 1.4 0.11 0.6 0.54
punching 0.9999999999999999 0.21 0.08 1.13 0.12333333333333334
punching 1.0999999999999999 -0.08 0.16 1.11 0.08
punching 1.2 -0.08 0.2 1.07 0.10666666666666667
punching 1.3 0.06 0.36 0.77 0.26
punching 1.4000000000000001 -0.01 0.41 1.02 0.26999999999999996
punching 1.5000000000000002 -0.15 0.31 1.02 0.15666666666666665
punching 1.6000000000000003 -0.15 0.21 1.04 0.09000000000000001
punching 1.7000000000000004 -0.02 0.25 0.95 0.16
punching 1.8000000000000005 0.12 0.43 1.0 0.32666666666666666
punching 1.9000000000000006 -0.16 0.36 0.96 0.18666666666666665
punching 2.0000000000000004 -0.23 0.55 0.81 0.29000000000000004
punching 2.1000000000000005 -0.37 0.78 1.19 0.39666666666666667
punching 2.2000000000000006 0.03 1.11 0.19 0.75
punching 2.3000000000000007 -0.48 -2.12 3.43 -1.5733333333333335
punching 2.400000000000001 -0.27 -0.29 1.14 -0.2833333333333334
punching 2.500000000000001 0.35 -0.19 1.18 -0.010000000000000009
punching 2.600000000000001 0.46 -0.12 1.34 0.07333333333333335
punching 2.700000000000001 0.27 0.11 0.87 0.16333333333333333
punching 2.800000000000001 0.05 0.34 0.85 0.24333333333333332
punching 2.9000000000000012 0.0 0.25 1.0 0.16666666666666666
punching 3.0000000000000013 -0.05 0.2 1.0 0.11666666666666668
punching 3.1000000000000014 -0.02 0.28 1.01 0.18000000000000002
punching 3.2000000000000015 0.0 0.27 1.06 0.18000000000000002
punching 3.3000000000000016 -0.0 0.26 1.01 0.17333333333333334
punching 3.4000000000000017 -0.04 0.27 0.97 0.16666666666666666
punching 3.5000000000000018 0.1 0.36 1.01 0.2733333333333333
punching 3.600000000000002 0.05 0.41 1.14 0.29
punching 3.700000000000002 -0.16 1.53 1.19 0.9666666666666668
punching 3.800000000000002 1.25 -1.09 0.3 -0.31000000000000005
punching 3.900000000000002 -1.72 -2.04 1.82 -1.9333333333333333
punching 4.000000000000002 -0.56 -0.35 1.53 -0.42
punching 4.100000000000001 0.08 -0.01 0.85 0.02
punching 4.200000000000001 0.02 -0.1 0.97 -0.06
punching 4.300000000000001 -0.09 0.2 0.82 0.10333333333333335
punching 4.4 0.01 0.28 0.98 0.19000000000000003
punching 4.5 -0.13 0.15 1.02 0.056666666666666664
punching 4.6 -0.02 0.29 0.95 0.18666666666666665
punching 4.699999999999999 0.06 0.35 0.98 0.25333333333333335
punching 4.799999999999999 0.01 0.34 1.04 0.23
punching 4.899999999999999 -0.14 0.24 1.04 0.11333333333333333
punching 4.999999999999998 -0.07 0.31 0.97 0.18333333333333335
