label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
walking 0 0.0 0.17 1.09 0.11333333333333334
walking 0.1 0.03 0.14 0.99 0.10333333333333335
walking 0.2 0.03 0.12 1.02 0.09000000000000001
walking 0.30000000000000004 0.09 0.15 1.07 0.13
walking 0.4 0.03 0.1 1.09 0.07666666666666667
walking 0.5 -0.01 0.01 0.95 0.0033333333333333335
walking 0.6 -0.04 0.14 0.97 0.08
walking 0.7 -0.07 -0.01 1.2 -0.03
walking 0.7999999999999999 -0.03 -0.22 1.24 -0.15666666666666665
walking 0.8999999999999999 -0.09 -0.03 0.99 -0.049999999999999996
walking 0.9999999999999999 -0.06 0.1 0.84 0.04666666666666667
walking 1.0999999999999999 -0.04 0.1 0.92 0.05333333333333334
walking 1.2 -0.03 0.15 1.01 0.09000000000000001
walking 1.3 -0.12 0.05 1.14 -0.006666666666666664
walking 1.4000000000000001 -0.12 -0.1 0.77 -0.10666666666666667
walking 1.5000000000000002 0.09 0.03 1.11 0.049999999999999996
walking 1.6000000000000003 -0.0 0.09 0.91 0.06
walking 1.7000000000000004 -0.12 0.13 1.0 0.04666666666666667
walking 1.8000000000000005 -0.06 -0.01 1.17 -0.02666666666666666
walking 1.9000000000000006 0.06 -0.08 1.26 -0.03333333333333333
walking 2.0000000000000004 0.03 -0.01 1.16 0.0033333333333333322
walking 2.1000000000000005 -0.05 0.05 0.86 0.016666666666666666
walking 2.2000000000000006 -0.07 0.05 0.94 0.01
walking 2.3000000000000007 -0.04 0.12 1.02 0.06666666666666667
walking 2.400000000000001 -0.03 0.09 1.11 0.049999999999999996
walking 2.500000000000001 -0.06 0.09 0.71 0.04
walking 2.600000000000001 0.1 -0.01 1.11 0.026666666666666672
walking 2.700000000000001 0.01 0.14 0.93 0.09666666666666668
walking 2.800000000000001 -0.02 0.19 0.98 0.12
walking 2.9000000000000012 -0.13 0.2 1.03 0.09000000000000001
walking 3.0000000000000013 -0.17 -0.03 0.7 -0.07666666666666667
walking 3.1000000000000014 0.07 0.02 1.16 0.036666666666666674
walking 3.2000000000000015 -0.05 0.06 0.79 0.02333333333333333
walking 3.3000000000000016 -0.05 0.11 0.93 0.056666666666666664
walking 3.4000000000000017 0.0 0.08 1.06 0.05333333333333334
walking 3.5000000000000018 0.12 0.05 1.27 0.07333333333333332
walking 3.600000000000002 0.05 0.16 0.86 0.12333333333333334
walking 3.700000000000002 0.03 0.07 1.02 0.05666666666666667
walking 3.800000000000002 0.0 0.02 1.0 0.013333333333333334
walking 3.900000000000002 0.04 -0.04 1.15 -0.013333333333333334
walking 4.000000000000002 -0.01 -0.1 0.94 -0.07
walking 4.100000000000001 -0.04 -0.1 0.96 -0.08
walking 4.200000000000001 -0.06 -0.18 1.1 -0.13999999999999999
walking 4.300000000000001 -0.02 -0.18 1.16 -0.12666666666666668
walking 4.4 -0.07 -0.28 0.92 -0.21000000000000005
walking 4.5 -0.04 -0.14 0.97 -0.10666666666666669
walking 4.6 -0.06 -0.14 0.92 -0.11333333333333334
walking 4.699999999999999 0.18 0.0 0.84 0.06
walking 4.799999999999999 0.55 -0.11 1.26 0.11000000000000003
walking 4.899999999999999 1.03 0.21 1.39 0.48333333333333334
walking 4.999999999999998 0.21 0.2 0.64 0.20333333333333337
