label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
standing 0 -0.026099084 0.9480431 0.32538486 0.6233290386666667
standing 0.1 -0.043600105 0.9592633 0.35221568 0.6249754983333333
standing 0.2 -0.041953668 0.9517019 0.28788266 0.6204833773333333
standing 0.30000000000000004 -0.045185562 0.95304346 0.30587152 0.6203004526666667
standing 0.4 -0.028782167 0.95395815 0.30142003 0.6263780443333333
standing 0.5 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 0.6 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 0.7 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 0.7999999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 0.8999999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 0.9999999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.0999999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.2 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.3 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.4000000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.5000000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.6000000000000003 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.7000000000000004 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.8000000000000005 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 1.9000000000000006 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.0000000000000004 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.1000000000000005 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.2000000000000006 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.3000000000000007 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.400000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.500000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.600000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.700000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.800000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 2.9000000000000012 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.0000000000000013 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.1000000000000014 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.2000000000000015 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.3000000000000016 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.4000000000000017 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.5000000000000018 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.600000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.700000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.800000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 3.900000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.000000000000002 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.100000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.200000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.300000000000001 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.4 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.5 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.6 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.699999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.799999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.899999999999999 -0.028965104 0.95499474 0.29715148 0.6270081253333334
standing 4.999999999999998 -0.028965104 0.95499474 0.29715148 0.6270081253333334
