label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
standing 0 0.02 0.07 1.08 0.053333333333333344
standing 0.1 -0.03 0.03 0.97 0.01
standing 0.2 -0.01 0.03 1.0 0.016666666666666666
standing 0.30000000000000004 0.02 0.05 1.04 0.04
standing 0.4 0.02 0.04 1.02 0.03333333333333333
standing 0.5 0.01 0.04 0.98 0.03
standing 0.6 0.01 0.03 1.01 0.023333333333333334
standing 0.7 -0.01 0.04 0.99 0.023333333333333334
standing 0.7999999999999999 -0.01 0.03 1.02 0.016666666666666666
standing 0.8999999999999999 -0.01 0.04 1.02 0.023333333333333334
standing 0.9999999999999999 -0.01 0.02 1.0 0.01
standing 1.0999999999999999 -0.0 0.05 0.98 0.03333333333333333
standing 1.2 0.0 0.04 1.03 0.02666666666666667
standing 1.3 -0.01 0.04 0.99 0.023333333333333334
standing 1.4000000000000001 -0.0 0.04 1.01 0.02666666666666667
standing 1.5000000000000002 -0.02 0.02 0.98 0.006666666666666667
standing 1.6000000000000003 0.0 0.04 1.02 0.02666666666666667
standing 1.7000000000000004 -0.02 0.02 1.01 0.006666666666666667
standing 1.8000000000000005 0.02 0.04 1.0 0.03333333333333333
standing 1.9000000000000006 -0.0 0.04 1.01 0.02666666666666667
standing 2.0000000000000004 0.0 0.04 1.01 0.02666666666666667
standing 2.1000000000000005 -0.02 0.02 1.0 0.006666666666666667
standing 2.2000000000000006 0.0 0.04 1.03 0.02666666666666667
standing 2.3000000000000007 -0.01 0.05 1.01 0.03
standing 2.400000000000001 -0.01 0.05 1.02 0.03
standing 2.500000000000001 -0.02 0.04 1.02 0.02
standing 2.600000000000001 -0.0 0.05 0.98 0.03333333333333333
standing 2.700000000000001 0.0 0.04 1.02 0.02666666666666667
standing 2.800000000000001 0.0 0.05 1.01 0.03333333333333333
standing 2.9000000000000012 0.01 0.04 1.01 0.03
standing 3.0000000000000013 0.0 0.04 1.01 0.02666666666666667
standing 3.1000000000000014 0.01 0.06 0.98 0.043333333333333335
standing 3.2000000000000015 0.01 0.05 1.0 0.036666666666666674
standing 3.3000000000000016 -0.0 0.04 1.0 0.02666666666666667
standing 3.4000000000000017 -0.01 0.04 1.01 0.023333333333333334
standing 3.5000000000000018 -0.01 0.03 1.0 0.016666666666666666
standing 3.600000000000002 -0.01 0.03 0.99 0.016666666666666666
standing 3.700000000000002 0.0 0.04 1.01 0.02666666666666667
standing 3.800000000000002 -0.0 0.06 0.97 0.04
standing 3.900000000000002 -0.0 0.04 1.0 0.02666666666666667
standing 4.000000000000002 -0.0 0.05 0.99 0.03333333333333333
standing 4.100000000000001 -0.01 0.05 1.01 0.03
standing 4.200000000000001 -0.01 0.03 0.99 0.016666666666666666
standing 4.300000000000001 -0.01 0.05 1.01 0.03
standing 4.4 0.01 0.06 1.0 0.043333333333333335
standing 4.5 0.02 0.06 0.98 0.04666666666666667
standing 4.6 0.02 0.06 1.02 0.04666666666666667
standing 4.699999999999999 0.01 0.05 1.02 0.036666666666666674
standing 4.799999999999999 0.01 0.06 1.01 0.043333333333333335
standing 4.899999999999999 0.01 0.05 1.02 0.036666666666666674
standing 4.999999999999998 0.01 0.06 0.99 0.043333333333333335
