label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
walking 0 0.04 0.18 1.0 0.13333333333333333
walking 0.1 0.0 0.16 0.97 0.10666666666666667
walking 0.2 0.03 0.21 0.98 0.15
walking 0.30000000000000004 0.0 0.19 0.92 0.12666666666666668
walking 0.4 0.08 0.23 0.98 0.18000000000000002
walking 0.5 0.03 0.24 0.97 0.17
walking 0.6 -0.0 0.15 0.96 0.09999999999999999
walking 0.7 -0.01 0.06 1.14 0.03666666666666666
walking 0.7999999999999999 0.0 -0.06 1.32 -0.04
walking 0.8999999999999999 -0.09 -0.02 0.79 -0.043333333333333335
walking 0.9999999999999999 -0.05 0.04 0.85 0.01
walking 1.0999999999999999 -0.07 0.08 0.89 0.03
walking 1.2 -0.04 0.14 1.0 0.08
walking 1.3 -0.11 -0.03 1.18 -0.05666666666666667
walking 1.4000000000000001 0.05 -0.07 1.03 -0.030000000000000002
walking 1.5000000000000002 0.09 0.08 0.96 0.08333333333333333
walking 1.6000000000000003 -0.02 0.12 0.82 0.07333333333333332
walking 1.7000000000000004 0.01 0.14 0.97 0.09666666666666668
walking 1.8000000000000005 -0.1 0.01 1.15 -0.026666666666666672
walking 1.9000000000000006 0.01 -0.18 1.59 -0.11666666666666665
walking 2.0000000000000004 -0.06 0.07 0.85 0.026666666666666672
walking 2.1000000000000005 -0.04 0.06 0.76 0.02666666666666666
walking 2.2000000000000006 -0.03 0.07 0.89 0.036666666666666674
walking 2.3000000000000007 -0.06 0.07 1.07 0.026666666666666672
walking 2.400000000000001 -0.06 -0.0 1.08 -0.02
walking 2.500000000000001 -0.06 -0.09 0.98 -0.08
walking 2.600000000000001 0.06 -0.05 1.15 -0.013333333333333336
walking 2.700000000000001 -0.05 0.11 0.82 0.056666666666666664
walking 2.800000000000001 -0.04 0.1 1.0 0.05333333333333334
walking 2.9000000000000012 -0.2 0.03 1.05 -0.04666666666666667
walking 3.0000000000000013 0.01 -0.25 1.44 -0.16333333333333333
walking 3.1000000000000014 0.01 -0.1 1.18 -0.06333333333333334
walking 3.2000000000000015 -0.07 0.01 0.82 -0.016666666666666666
walking 3.3000000000000016 -0.07 0.08 0.91 0.03
walking 3.4000000000000017 -0.05 0.07 1.1 0.030000000000000002
walking 3.5000000000000018 -0.04 0.09 0.99 0.04666666666666666
walking 3.600000000000002 -0.03 0.03 0.7 0.01
walking 3.700000000000002 0.11 -0.01 0.88 0.030000000000000002
walking 3.800000000000002 0.05 -0.07 1.12 -0.030000000000000002
walking 3.900000000000002 0.09 0.09 1.06 0.09000000000000001
walking 4.000000000000002 -0.05 -0.02 0.8 -0.030000000000000002
walking 4.100000000000001 -0.01 -0.04 0.93 -0.03
walking 4.200000000000001 0.04 0.05 1.02 0.04666666666666667
walking 4.300000000000001 0.01 0.07 0.99 0.05000000000000001
walking 4.4 0.02 -0.02 1.06 -0.006666666666666667
walking 4.5 0.01 -0.14 0.9 -0.09000000000000001
walking 4.6 0.09 0.07 1.0 0.07666666666666667
walking 4.699999999999999 0.09 -0.03 1.08 0.01
walking 4.799999999999999 -0.01 -0.2 1.04 -0.1366666666666667
walking 4.899999999999999 -0.05 -0.12 1.03 -0.09666666666666666
walking 4.999999999999998 -0.05 0.03 0.98 0.003333333333333332
