label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
punching 0 0.01 0.16 1.03 0.11
punching 0.1 0.04 0.07 1.05 0.060000000000000005
punching 0.2 -0.11 0.03 1.03 -0.016666666666666666
punching 0.30000000000000004 -0.02 0.29 1.1 0.18666666666666665
punching 0.4 -0.04 0.8 0.92 0.52
punching 0.5 -0.34 1.27 0.96 0.7333333333333334
punching 0.6 1.55 -1.35 -0.01 -0.38333333333333336
punching 0.7 2.19 0.62 -0.58 1.1433333333333333
punching 0.7999999999999999 -0.69 -0.69 1.21 -0.69
punching 0.8999999999999999 0.16 0.16 0.83 0.16
punching 0.9999999999999999 0.22 0.17 1.47 0.18666666666666668
punching 1.0999999999999999 -0.09 0.07 1.14 0.016666666666666673
punching 1.2 0.02 0.2 0.82 0.14
punching 1.3 -0.04 0.05 1.05 0.02
punching 1.4000000000000001 -0.11 0.27 1.01 0.14333333333333334
punching 1.5000000000000002 -0.24 0.25 0.96 0.08666666666666667
punching 1.6000000000000003 -0.18 0.38 1.05 0.19333333333333336
punching 1.7000000000000004 -0.37 0.78 1.21 0.39666666666666667
punching 1.8000000000000005 -0.55 1.29 0.54 0.6766666666666667
punching 1.9000000000000006 1.08 -3.17 0.45 -1.7533333333333332
punching 2.0000000000000004 2.4 0.98 0.05 1.4533333333333331
punching 2.1000000000000005 0.27 -0.25 1.17 -0.07666666666666666
punching 2.2000000000000006 0.16 -0.43 1.11 -0.2333333333333333
punching 2.3000000000000007 0.18 -0.24 1.19 -0.09999999999999999
punching 2.400000000000001 0.18 -0.03 1.22 0.04
punching 2.500000000000001 -0.05 0.15 0.86 0.08333333333333333
punching 2.600000000000001 -0.03 0.26 0.83 0.16333333333333333
punching 2.700000000000001 -0.14 0.17 1.22 0.06666666666666667
punching 2.800000000000001 -0.16 0.3 1.2 0.14666666666666664
punching 2.9000000000000012 -0.1 0.32 1.07 0.18000000000000002
punching 3.0000000000000013 -0.12 1.02 1.15 0.64
punching 3.1000000000000014 -0.67 1.15 0.37 0.5433333333333333
punching 3.2000000000000015 1.82 -2.4 1.28 -0.9933333333333332
punching 3.3000000000000016 1.67 0.59 -0.09 0.9499999999999998
punching 3.4000000000000017 0.15 -0.28 1.16 -0.1366666666666667
punching 3.5000000000000018 0.14 -0.32 1.09 -0.16666666666666666
punching 3.600000000000002 0.11 -0.23 1.03 -0.11666666666666668
punching 3.700000000000002 0.05 0.36 0.94 0.25666666666666665
punching 3.800000000000002 0.21 0.19 0.96 0.19666666666666668
punching 3.900000000000002 0.15 0.26 1.12 0.22333333333333336
punching 4.000000000000002 -0.1 0.23 1.05 0.12
punching 4.100000000000001 0.13 0.45 0.88 0.3433333333333333
punching 4.200000000000001 -0.01 0.4 1.21 0.26333333333333336
punching 4.300000000000001 -0.14 0.47 1.09 0.26666666666666666
punching 4.4 -0.24 1.58 1.15 0.9733333333333333
punching 4.5 0.67 -0.3 0.18 0.023333333333333355
punching 4.6 -1.43 -1.85 2.94 -1.7100000000000002
punching 4.699999999999999 -0.68 -0.8 1.33 -0.7600000000000001
punching 4.799999999999999 0.06 -0.26 1.14 -0.15333333333333335
punching 4.899999999999999 0.16 -0.33 1.17 -0.16666666666666666
punching 4.999999999999998 0.31 -0.13 1.29 0.016666666666666663
