label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
walking 0 0.01 0.07 0.86 0.05000000000000001
walking 0.1 0.06 0.11 1.08 0.09333333333333332
walking 0.2 -0.0 0.12 0.95 0.08
walking 0.30000000000000004 0.0 0.18 0.95 0.12
walking 0.4 0.05 0.21 1.03 0.15666666666666665
walking 0.5 0.02 0.13 1.06 0.09333333333333334
walking 0.6 -0.05 0.17 0.91 0.09666666666666668
walking 0.7 0.04 0.22 0.93 0.16
walking 0.7999999999999999 0.0 0.21 1.0 0.13999999999999999
walking 0.8999999999999999 0.02 0.26 1.05 0.18000000000000002
walking 0.9999999999999999 -0.0 0.12 1.07 0.08
walking 1.0999999999999999 0.07 -0.16 1.3 -0.08333333333333333
walking 1.2 -0.1 0.11 0.9 0.04
walking 1.3 -0.07 0.08 0.87 0.03
walking 1.4000000000000001 -0.09 0.11 0.97 0.043333333333333335
walking 1.5000000000000002 -0.09 0.18 0.92 0.09000000000000001
walking 1.6000000000000003 -0.12 0.14 1.05 0.053333333333333344
walking 1.7000000000000004 0.06 -0.03 1.1 0.0
walking 1.8000000000000005 0.01 0.2 0.94 0.1366666666666667
walking 1.9000000000000006 0.03 0.06 1.02 0.049999999999999996
walking 2.0000000000000004 0.01 0.22 0.95 0.15
walking 2.1000000000000005 0.05 0.23 0.93 0.17
walking 2.2000000000000006 -0.02 0.18 1.09 0.11333333333333333
walking 2.3000000000000007 -0.01 0.14 1.2 0.09000000000000001
walking 2.400000000000001 -0.04 0.19 0.77 0.11333333333333333
walking 2.500000000000001 0.06 0.04 1.19 0.04666666666666667
walking 2.600000000000001 -0.08 0.12 0.87 0.05333333333333332
walking 2.700000000000001 -0.03 0.21 1.0 0.13
walking 2.800000000000001 -0.03 0.17 1.11 0.10333333333333335
walking 2.9000000000000012 0.06 0.08 1.33 0.07333333333333335
walking 3.0000000000000013 -0.09 0.18 0.68 0.09000000000000001
walking 3.1000000000000014 -0.02 0.06 0.99 0.03333333333333333
walking 3.2000000000000015 0.01 0.18 0.9 0.12333333333333334
walking 3.3000000000000016 0.02 0.13 1.04 0.09333333333333334
walking 3.4000000000000017 0.0 0.13 1.13 0.08666666666666667
walking 3.5000000000000018 0.1 -0.07 1.47 -0.013333333333333336
walking 3.600000000000002 -0.09 0.14 0.87 0.06333333333333334
walking 3.700000000000002 -0.06 0.0 0.95 -0.02
walking 3.800000000000002 -0.04 0.13 0.93 0.07333333333333333
walking 3.900000000000002 -0.05 0.07 0.98 0.030000000000000002
walking 4.000000000000002 -0.0 0.06 1.21 0.04
walking 4.100000000000001 0.02 -0.17 1.31 -0.10666666666666669
walking 4.200000000000001 -0.07 0.19 0.64 0.10333333333333333
walking 4.300000000000001 0.0 -0.01 1.1 -0.006666666666666667
walking 4.4 -0.0 0.14 0.92 0.09333333333333334
walking 4.5 -0.05 0.04 0.99 0.01
walking 4.6 0.02 0.01 1.07 0.013333333333333334
walking 4.699999999999999 -0.11 -0.06 0.92 -0.07666666666666666
walking 4.799999999999999 -0.18 -0.06 1.01 -0.09999999999999999
walking 4.899999999999999 -0.14 -0.18 1.01 -0.16666666666666666
walking 4.999999999999998 -0.2 -0.23 1.07 -0.22
