label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
walking 0 0.04 0.11 0.97 0.08666666666666667
walking 0.1 -0.01 0.07 0.97 0.043333333333333335
walking 0.2 0.02 0.13 0.98 0.09333333333333334
walking 0.30000000000000004 0.05 0.17 0.98 0.13
walking 0.4 0.04 0.23 0.96 0.16666666666666666
walking 0.5 -0.02 0.21 0.93 0.13333333333333333
walking 0.6 -0.02 0.14 1.05 0.08666666666666667
walking 0.7 0.04 -0.08 1.33 -0.04
walking 0.7999999999999999 -0.1 0.02 0.86 -0.02
walking 0.8999999999999999 -0.03 -0.02 1.04 -0.023333333333333334
walking 0.9999999999999999 -0.01 0.11 0.94 0.07
walking 1.0999999999999999 -0.05 0.05 1.01 0.016666666666666666
walking 1.2 0.03 0.1 0.94 0.07666666666666667
walking 1.3 0.05 0.01 1.27 0.023333333333333334
walking 1.4000000000000001 0.04 0.12 0.84 0.09333333333333334
walking 1.5000000000000002 0.02 -0.03 0.94 -0.01333333333333333
walking 1.6000000000000003 0.01 0.14 0.94 0.09666666666666668
walking 1.7000000000000004 0.01 0.09 0.97 0.06333333333333334
walking 1.8000000000000005 -0.03 0.15 0.96 0.09000000000000001
walking 1.9000000000000006 0.05 0.09 1.34 0.07666666666666667
walking 2.0000000000000004 -0.1 0.0 0.79 -0.03333333333333333
walking 2.1000000000000005 0.01 -0.02 1.15 -0.01
walking 2.2000000000000006 -0.04 0.07 0.95 0.03333333333333333
walking 2.3000000000000007 -0.07 0.13 0.89 0.06333333333333334
walking 2.400000000000001 -0.02 0.12 1.05 0.07333333333333332
walking 2.500000000000001 -0.03 0.15 0.93 0.09000000000000001
walking 2.600000000000001 -0.02 0.08 0.64 0.04666666666666667
walking 2.700000000000001 0.02 0.03 1.01 0.02666666666666667
walking 2.800000000000001 -0.0 0.1 0.93 0.06666666666666667
walking 2.9000000000000012 0.06 0.26 0.95 0.19333333333333336
walking 3.0000000000000013 -0.05 0.12 1.04 0.06333333333333334
walking 3.1000000000000014 0.09 0.01 1.53 0.03666666666666666
walking 3.2000000000000015 -0.11 0.17 0.67 0.07666666666666667
walking 3.3000000000000016 -0.04 -0.04 1.08 -0.04
walking 3.4000000000000017 -0.07 0.07 0.84 0.023333333333333334
walking 3.5000000000000018 -0.02 0.13 1.01 0.08
walking 3.600000000000002 -0.04 0.1 1.06 0.05333333333333334
walking 3.700000000000002 0.02 0.08 1.17 0.06
walking 3.800000000000002 -0.06 0.22 0.69 0.12666666666666668
walking 3.900000000000002 -0.03 -0.01 1.11 -0.016666666666666666
walking 4.000000000000002 -0.07 0.15 0.91 0.07666666666666666
walking 4.100000000000001 -0.06 0.14 0.99 0.07333333333333335
walking 4.200000000000001 -0.09 0.02 1.09 -0.016666666666666663
walking 4.300000000000001 -0.05 -0.05 1.2 -0.05000000000000001
walking 4.4 -0.17 0.09 0.77 0.003333333333333327
walking 4.5 -0.02 -0.05 1.26 -0.04
walking 4.6 -0.12 -0.02 0.85 -0.05333333333333332
walking 4.699999999999999 -0.07 0.05 1.06 0.01
walking 4.799999999999999 -0.12 0.04 0.91 -0.013333333333333329
walking 4.899999999999999 -0.01 0.07 0.82 0.043333333333333335
walking 4.999999999999998 0.0 -0.05 0.97 -0.03333333333333333
