label timestamp accelerometer_x accelerometer_y accelerometer_z accelerometer_avg
standing 0 -0.055795938 0.89340574 0.37770495 0.5770051806666666
standing 0.1 -0.06415008 0.9112727 0.40929216 0.5861317733333333
standing 0.2 0.0127446465 0.92932254 0.28202865 0.6237965755
standing 0.30000000000000004 0.007561417 0.9207854 0.33800754 0.6163774056666667
standing 0.4 -0.06768687 0.9350546 0.31020102 0.6008074433333334
standing 0.5 -0.047746688 0.9408476 0.35624027 0.6113161706666667
standing 0.6 -0.014208145 0.92907864 0.3597771 0.6146497116666666
standing 0.7 -0.020367041 0.9421281 0.36154547 0.6212963863333334
standing 0.7999999999999999 -0.008171208 0.9238344 0.34319076 0.613165864
standing 0.8999999999999999 -0.02841629 0.9327374 0.35867947 0.6123528366666667
standing 0.9999999999999999 -0.019147458 0.9481041 0.38294917 0.625686914
standing 1.0999999999999999 -0.03292875 0.92828584 0.3597771 0.6078809766666667
standing 1.2 0.011342125 0.92938346 0.3418492 0.6233696816666666
standing 1.3 -0.0042075627 0.936884 0.35739893 0.6231868124333334
standing 1.4000000000000001 -0.005914979 0.94151837 0.3474593 0.6257072536666667
standing 1.5000000000000002 0.008841979 0.933713 0.34910575 0.6254226596666667
standing 1.6000000000000003 0.007744354 0.93316424 0.35264254 0.6246909446666666
standing 1.7000000000000004 -0.0131715005 0.9407256 0.35550857 0.6227598998333334
standing 1.8000000000000005 0.0006707709 0.9399329 0.3494716 0.6268455236333333
standing 1.9000000000000006 0.007378479 0.9421281 0.34934965 0.630544893
standing 2.0000000000000004 -0.0078053335 0.94078666 0.33440974 0.6245893288333333
standing 2.1000000000000005 0.0037197291 0.9408476 0.33794656 0.6284716430333334
standing 2.2000000000000006 0.00030489583 0.93962806 0.3312998 0.62652033861
standing 2.3000000000000007 0.009817646 0.9412134 0.3164819 0.6307481486666666
standing 2.400000000000001 -0.0037807084 0.948348 0.3392271 0.6309717638666666
standing 2.500000000000001 -0.0034148335 0.9461528 0.32587266 0.6296302555
standing 2.600000000000001 0.009573729 0.9446892 0.32617757 0.632984043
standing 2.700000000000001 0.010854292 0.9448112 0.33739772 0.6334922306666666
standing 2.800000000000001 -0.005183229 0.9480431 0.31898203 0.6303009903333333
standing 2.9000000000000012 0.01689123 0.94816506 0.31837222 0.63774045
standing 3.0000000000000013 0.008720021 0.9468236 0.3158111 0.634122407
standing 3.1000000000000014 0.0030489585 0.9498116 0.33093393 0.6342240528333333
standing 3.2000000000000015 0.010732334 0.9468236 0.3228847 0.6347931779999999
standing 3.3000000000000016 0.0034758127 0.9509091 0.3017249 0.6350980042333333
standing 3.4000000000000017 0.014208145 0.94450635 0.32270175 0.6344069483333333
standing 3.5000000000000018 -0.0006707709 0.9486529 0.31270117 0.6322116763666666
standing 3.600000000000002 -0.002927 0.95127505 0.32123825 0.6332076999999999
standing 3.700000000000002 0.005366167 0.9465186 0.3146525 0.6328011223333333
standing 3.800000000000002 0.023233064 0.9510311 0.30757892 0.641765088
standing 3.900000000000002 0.0033538544 0.9479211 0.3225798 0.6330653514666666
standing 4.000000000000002 0.0048783333 0.9481041 0.3181893 0.6336955111
standing 4.100000000000001 0.00804925 0.95237267 0.30873755 0.6375981966666667
standing 4.200000000000001 0.014330104 0.95243365 0.3123963 0.639732468
standing 4.300000000000001 0.010305479 0.9506652 0.3059325 0.6372119596666667
standing 4.4 0.010000584 0.9518238 0.32392135 0.637882728
standing 4.5 -0.0070126047 0.9488969 0.2822116 0.6302603984333334
standing 4.6 0.002561125 0.9577998 0.2906877 0.6393869083333333
standing 4.699999999999999 0.0017074167 0.95243365 0.31123766 0.6355249055666666
standing 4.799999999999999 0.003963646 0.95347023 0.3093473 0.6369680353333332
standing 4.899999999999999 0.0028050416 0.948287 0.29623678 0.6331263472
standing 4.999999999999998 0.010732334 0.957129 0.29623678 0.6416634446666666
